"company_name","company_domain","playbook_name","location","size_band"
"LÄPPLE AUTOMOTIVE GmbH","laepple-automotive.de","Precision Metal Forming","Germany","50+"
"M. Mütze GmbH","mmuetze.de","Precision Metal Forming","Germany","50+"
"Mafu Group","mafu.de","Precision Metal Forming","Germany","50+"
"Magdalene Meyer GmbH","mmeyer-gmbh.de","Precision Metal Forming","Germany","50+"
"Marquardt GmbH","marquardt.com","Precision Metal Forming","Germany","50+"
"Martin Stanz- und Umformtechnik GmbH","martin-metall.de","Precision Metal Forming","Germany","50+"
"MATEtronix","mate-tronix.com","Precision Metal Forming","Germany","50+"
"Matikon","matikon.com","Precision Metal Forming","Germany","50+"
"MATO GmbH & Co. KG","mato.de","Precision Metal Forming","Germany","50+"
"Mayser GmbH & Co. KG","mayser.com","Precision Metal Forming","Germany","50+"
"MD Umformtechnik GmbH Erfurt","md-umformtechnik.de","Precision Metal Forming","Germany","50+"
"mecotec GmbH","mecotec.com","Precision Metal Forming","Germany","50+"
"MEESE GmbH & Co. KG","meese.de","Precision Metal Forming","Germany","50+"
"MEGA Umformtechnik GmbH & Co. KG","mega-umform.de","Precision Metal Forming","Germany","50+"
"Meissner AG","meissner.eu","Precision Metal Forming","Germany","50+"
"MeKo Manufacturing","meko.de","Precision Metal Forming","Germany","50+"
"MEKU Group","meku.de","Precision Metal Forming","Germany","50+"
"Meleghy Automotive","meleghyautomotive.de","Precision Metal Forming","Germany","50+"
"Menke GmbH","menke-gmbh.de","Precision Metal Forming","Germany","50+"
"MENNEKES Elektrotechnik GmbH & Co. KG","mennekes.de","Precision Metal Forming","Germany","50+"
"Menz Stahlwaren GmbH","menz-stahlwaren.de","Precision Metal Forming","Germany","50+"
"Metaform GmbH","metaform.de","Precision Metal Forming","Germany","50+"
"Metaform HSM GmbH","mhu-gmbh.com","Precision Metal Forming","Germany","50+"
"Metalltechnik Lang GmbH","metall-lang.de","Precision Metal Forming","Germany","50+"
"Metallverarbeitung Bremen GmbH","metallwarenfabrik-bremen.de","Precision Metal Forming","Germany","50+"
"Metallverarbeitung GmbH","d-heitkamp-metallverarbeitung-gmbh.de","Precision Metal Forming","Germany","50+"
"MinebeaMitsumi Europe","minebeamitsumi.eu","Precision Metal Forming","Germany","50+"
"MN Kaltformteile GmbH & Co. KG","mn-kaltform.de","Precision Metal Forming","Germany","50+"
"MSM Hänel / Max Mennicke GmbH","max-mennicke.de","Precision Metal Forming","Germany","50+"
"Muhr und Bender KG (Mubea)","mubea.com","Precision Metal Forming","Germany","50+"
"Mädel Metall GmbH","maedel-metall.de","Precision Metal Forming","Germany","50+"
"Möhling GmbH & Co. KG","moehling.com","Precision Metal Forming","Germany","50+"
"Mühlhause GmbH","muehlhause.de","Precision Metal Forming","Germany","50+"
"Mühlhoff Umformtechnik GmbH","muehlhoff.de","Precision Metal Forming","Germany","50+"
"N+S Norm- und Sonderschrauben GmbH","noso-germany.de","Precision Metal Forming","Germany","50+"
"nass magnet","nassmagnet.de","Precision Metal Forming","Germany","50+"
"Neugart GmbH","neugart.com","Precision Metal Forming","Germany","50+"
"Nevitech GmbH","nevitech.de","Precision Metal Forming","Germany","50+"
"NieMet","niemet.de","Precision Metal Forming","Germany","50+"
"NMW Niederrheinische Metallwerke GmbH & Co. KG","otto-fuchs-duelken.de","Precision Metal Forming","Germany","50+"
"NORMA Group SE","normagroup.com","Precision Metal Forming","Germany","50+"
"Nögel Montagetechnik GmbH","noegel.de","Precision Metal Forming","Germany","50+"
"ODU GmbH & Co. KG","odu.de","Precision Metal Forming","Germany","50+"
"OEB Otto Eichhoff GmbH & Co. KG","eichhoff-schrauben.de","Precision Metal Forming","Germany","50+"
"OEHMETIC GmbH","oehmetic.com","Precision Metal Forming","Germany","50+"
"Ortlinghaus-Werke GmbH","ortlinghaus.com","Precision Metal Forming","Germany","50+"
"Ossenberg & Grefe GmbH & Co. KG","ossenberg-grefe.de","Precision Metal Forming","Germany","50+"
"OSUT Oederaner Stanz- und Umformtechnik GmbH","oederaner-stanztechnik.de","Precision Metal Forming","Germany","50+"
"Otto Bauckhage GmbH & Co. KG","otto-bauckhage.de","Precision Metal Forming","Germany","50+"
"Otto Ganter GmbH & Co. KG","ganternorm.com","Precision Metal Forming","Germany","50+"
"Oventrop GmbH & Co. KG","oventrop.com","Precision Metal Forming","Germany","50+"
"P.C. Turck Produktions- und Verwaltungs GmbH","pcturck.de","Precision Metal Forming","Germany","50+"
"Paul Stanztechnik GmbH","stanzteile-paul.de","Precision Metal Forming","Germany","50+"
"Peter Mücke GmbH Metallverarbeitung","peter-muecke.de","Precision Metal Forming","Germany","50+"
"PFLITSCH GmbH & Co. KG","pflitsch.de","Precision Metal Forming","Germany","50+"
"Phoenix Contact GmbH & Co. KG","phoenixcontact.com","Precision Metal Forming","Germany","50+"
"Plock GmbH Stanz- und Ziehtechnik","plock-metallwerke.de","Precision Metal Forming","Germany","50+"
"Poppe + Potthoff GmbH","poppe-potthoff.com","Precision Metal Forming","Germany","50+"
"Possehl Electronics","possehlelectronics.de","Precision Metal Forming","Germany","50+"
"Prange Metall GmbH","prange-metall.de","Precision Metal Forming","Germany","50+"
"Preh GmbH","preh.com","Precision Metal Forming","Germany","50+"
"Press- und Stanzwerk Garthe & Stoltenhoff GmbH","garthe-stoltenhoff.de","Precision Metal Forming","Germany","50+"
"PRETTL group","prettl.com","Precision Metal Forming","Germany","50+"
"PRINZ Verbindungselemente GmbH","prinz-h.de","Precision Metal Forming","Germany","50+"
"PROFIL","profil-global.com","Precision Metal Forming","Germany","50+"
"Protektorwerk Florenz Maisch GmbH & Co. KG","protektor.de","Precision Metal Forming","Germany","50+"
"PRYM","prym-group.com","Precision Metal Forming","Germany","50+"
"PRÄZI GROUP","praezi.com","Precision Metal Forming","Germany","50+"
"PSM Protech GmbH","psm-protech.com","Precision Metal Forming","Germany","50+"
"PTS Präzisionsteile GmbH","pts-gemmingen.com","Precision Metal Forming","Germany","50+"
"PWO Progress-Werk Oberkirch AG","pwo-group.com","Precision Metal Forming","Germany","50+"
"Püttmer GmbH","puettmer-gmbh.de","Precision Metal Forming","Germany","50+"
"RAPA Rausch & Pausch SE","rapa.com","Precision Metal Forming","Germany","50+"
"RAWE Electronic GmbH","demmel-group.com","Precision Metal Forming","Germany","50+"
"Reich GmbH","reich-gmbh.com","Precision Metal Forming","Germany","50+"
"Reinhard Bretthauer GmbH","bretthauer.de","Precision Metal Forming","Germany","50+"
"Reinhold Bürkle Technische Federn GmbH","buerkle-federn.de","Precision Metal Forming","Germany","50+"
"Reisser Schraubentechnik GmbH","reisser-schrauben.de","Precision Metal Forming","Germany","50+"
"REISSER Schraubentechnik GmbH","reisser-screws.com","Precision Metal Forming","Germany","50+"
"Rempel Stanztechnik GmbH","rempel-stanztechnik.com","Precision Metal Forming","Germany","50+"
"Rhythm Automotive Germany GmbH","thk-rhythm-auto.eu","Precision Metal Forming","Germany","50+"
"RIBE Richard Bergner Verbindungstechnik GmbH & Co. KG","ribe.de","Precision Metal Forming","Germany","50+"
"Richard Wolf GmbH","richard-wolf.com","Precision Metal Forming","Germany","50+"
"Richter Stanztechnik GmbH","richter-stanztechnik.de","Precision Metal Forming","Germany","50+"
"RINGFEDER POWER TRANSMISSION","ringfeder.com","Precision Metal Forming","Germany","50+"
"RIWOTEC GmbH","riwotec-gmbh.de","Precision Metal Forming","Germany","50+"
"Robert Schröder GmbH & Co. KG","robert-schroeder.de","Precision Metal Forming","Germany","50+"
"Robert Schulte GmbH & Co. KG Metallverarbeitung","rschulte.de","Precision Metal Forming","Germany","50+"
"Robert Winkelsträter GmbH & Co. KG","winkelstraeter.de","Precision Metal Forming","Germany","50+"
"Rosenberger Hochfrequenztechnik GmbH & Co. KG","rosenberger.com","Precision Metal Forming","Germany","50+"
"Rosenberger Stanztechnik Neuenbürg GmbH","rsn.rosenberger.com","Precision Metal Forming","Germany","50+"
"Roto Frank Fenster- und Tuertechnologie GmbH","roto-frank.com","Precision Metal Forming","Germany","50+"
"RUD Ketten Rieger & Dietz GmbH u. Co. KG","rud.com","Precision Metal Forming","Germany","50+"
"RUWIP Stanztechnik Rudolf Winkemann GmbH & Co. KG","ruwip.de","Precision Metal Forming","Germany","50+"
"Römer Stanz- und Umformtechnik GmbH","roemer-gmbh.com","Precision Metal Forming","Germany","50+"
"SAMSON AG","samsongroup.com","Precision Metal Forming","Germany","50+"
"SAXONIA Umformtechnik GmbH","saxonia-umformtechnik.com","Precision Metal Forming","Germany","50+"
"SAXONIA-FRANKE GmbH & Co. KG","saxonia-franke.de","Precision Metal Forming","Germany","50+"
"SBS Stanzprodukte GmbH","sbs-stanzprodukte.de","Precision Metal Forming","Germany","50+"
"Schaeffertec GmbH","loxx-produkte.de","Precision Metal Forming","Germany","50+"
"Schaeffertec GmbH","schaeffertec.de","Precision Metal Forming","Germany","50+"
"Schaltbau GmbH","schaltbau.com","Precision Metal Forming","Germany","50+"
"SCHELL GmbH & Co. KG","schell.eu","Precision Metal Forming","Germany","50+"
"SCHERDEL GmbH","scherdel.com","Precision Metal Forming","Germany","50+"
"Schnorr GmbH","schnorr-group.com","Precision Metal Forming","Germany","50+"
"Schnorr GmbH","schnorr.de","Precision Metal Forming","Germany","50+"
"Schondelmaier GmbH Presswerk","schondelmaier.de","Precision Metal Forming","Germany","50+"
"Schraubenfabrik W. Rüggeberg GmbH & Co. KG","rueggeberg-schrauben.de","Precision Metal Forming","Germany","50+"
"Schuck Group GmbH","schuck-group.com","Precision Metal Forming","Germany","50+"
"Schuhl & Co. GmbH","schuhl.de","Precision Metal Forming","Germany","50+"
"Schulte Press- und Stanzwerk GmbH","schulte-press.de","Precision Metal Forming","Germany","50+"
"Schulz-Stanztechnik GmbH","schulz-stanztechnik.de","Precision Metal Forming","Germany","50+"
"SCHUMAG AKTIENGESELLSCHAFT","schumag.de","Precision Metal Forming","Germany","50+"
"Schunk Sintermetalltechnik GmbH","schunk-group.com","Precision Metal Forming","Germany","50+"
"Schweikert GmbH","schweikert-gruppe.de","Precision Metal Forming","Germany","50+"
"Schweizer Group (SCHWEIZER GmbH & Co. KG)","schweizer-group.de","Precision Metal Forming","Germany","50+"
"Schweizer Technologies GmbH","schweizer-technologies.com","Precision Metal Forming","Germany","50+"
"Schäfer Group","schaefer.biz","Precision Metal Forming","Germany","50+"
"SCHÄFER Werke GmbH","schaefer-werke.de","Precision Metal Forming","Germany","50+"
"Schürer GmbH Metallwarenfabrik","metallwaren-schuerer.de","Precision Metal Forming","Germany","50+"
"Schürholz Group","schuerholz-group.com","Precision Metal Forming","Germany","50+"
"SEEGER-ORBIS GmbH","seeger-orbis.de","Precision Metal Forming","Germany","50+"
"Seidel GmbH & Co. KG","seidel.de","Precision Metal Forming","Germany","50+"
"SELZER Group","selzergroup.com","Precision Metal Forming","Germany","50+"
"SF Schanz Stanztechnologie GmbH","sf-stanztechnologie.de","Precision Metal Forming","Germany","50+"
"SHN Stanz Schmidt GmbH & Co. KG","stanz-schmidt.de","Precision Metal Forming","Germany","50+"
"SIEGENIA-AUBI KG","siegenia.com","Precision Metal Forming","Germany","50+"
"SIMONSWERK GmbH","simonswerk.com","Precision Metal Forming","Germany","50+"
"Sixt GmbH Stanz- und Umformtechnik","sixt-gmbh.de","Precision Metal Forming","Germany","50+"
"Smart Press Shop GmbH & Co. KG","smartpress.shop","Precision Metal Forming","Germany","50+"
"SMF-Spanlose Metall Formung GmbH & Co. KG","s-m-f.de","Precision Metal Forming","Germany","50+"
"SMIA Automotive Global","smia-automotive.com","Precision Metal Forming","Germany","50+"
"Solidor Heuer GmbH","solidor-heuer.de","Precision Metal Forming","Germany","50+"
"Sonderschrauben Güldner GmbH","gueldner.com","Precision Metal Forming","Germany","50+"
"SPALECK GmbH & Co. KG","spaleck.de","Precision Metal Forming","Germany","50+"
"SPAX International GmbH & Co. KG","spax.com","Precision Metal Forming","Germany","50+"
"SPRINGTEC Group","springtec-group.com","Precision Metal Forming","Germany","50+"
"SSS Gruppe","sss-gruppe.de","Precision Metal Forming","Germany","50+"
"ST Stanztechnik GmbH","stanztechnik.de","Precision Metal Forming","Germany","50+"
"Stabilus SE","stabilus.com","Precision Metal Forming","Germany","50+"
"Stamo GmbH","stamo.de","Precision Metal Forming","Germany","50+"
"Stanztronic GmbH & Co. KG","stanztronic.de","Precision Metal Forming","Germany","50+"
"Stehling Stanztechnik GmbH","stehling.org","Precision Metal Forming","Germany","50+"
"Steiner GmbH","steinergmbh.de","Precision Metal Forming","Germany","50+"
"Steinmüller Stanztechnik GmbH","steinmueller-stanztechnik.de","Precision Metal Forming","Germany","50+"
"Stengel GmbH","stengel-gmbh.de","Precision Metal Forming","Germany","50+"
"Stepper GmbH & Co. KG","stepper.de","Precision Metal Forming","Germany","50+"
"Stickel GmbH Blech-Umformtechnik","stickel.de","Precision Metal Forming","Germany","50+"
"Stumpp + Schuele GmbH","stumpp-schuele.de","Precision Metal Forming","Germany","50+"
"Sturm Blechverarbeitung & Systeme GmbH","sturm-blech.de","Precision Metal Forming","Germany","50+"
"SUSPA GmbH","suspa.com","Precision Metal Forming","Germany","50+"
"SWG Schraubenwerk Gaisbach GmbH","swg.de","Precision Metal Forming","Germany","50+"
"THIEL & HOCHE","thiel-hoche.de","Precision Metal Forming","Germany","50+"
"Thomas Magnete GmbH","thomas-magnete.com","Precision Metal Forming","Germany","50+"
"Uebele Stanztechnik GmbH","uebele.de","Precision Metal Forming","Germany","50+"
"UFT Produktion GmbH","uft.de","Precision Metal Forming","Germany","50+"
"ulrich GmbH & Co. KG (ulrich medical)","ulrichmedical.com","Precision Metal Forming","Germany","50+"
"Umformtechnik Crimmitschau GmbH","utc-metall.de","Precision Metal Forming","Germany","50+"
"UTR Umformtechnik Ronneburg GmbH","utr-umformtechnik.de","Precision Metal Forming","Germany","50+"
"VDF Federn GmbH","vdf-federn.de","Precision Metal Forming","Germany","50+"
"Viega GmbH & Co. KG","viega.de","Precision Metal Forming","Germany","50+"
"Vogelsang Umformtechnik GmbH","vogelsang-ut.de","Precision Metal Forming","Germany","50+"
"Vogt & Käfer GmbH","vk-stanztechnik.de","Precision Metal Forming","Germany","50+"
"Vogt Stanzteile GmbH","vogt-stanzteile.de","Precision Metal Forming","Germany","50+"
"Vollmann Group","vollmann-group.com","Precision Metal Forming","Germany","50+"
"von Schaewen GmbH","von-schaewen.de","Precision Metal Forming","Germany","50+"
"Vorwerk & Sohn Group","vorwerk-sohn.com","Precision Metal Forming","Germany","50+"
"Vorwerk Autotec GmbH & Co. KG","vorwerk-autotec.de","Precision Metal Forming","Germany","50+"
"Vossloh AG","vossloh.com","Precision Metal Forming","Germany","50+"
"Vrielmann GmbH","vrielmann.com","Precision Metal Forming","Germany","50+"
"WAGO GmbH & Co. KG","wago.com","Precision Metal Forming","Germany","50+"
"Wagon Automotive Nagold GmbH","wagon-automotive.de","Precision Metal Forming","Germany","50+"
"Waldemar Link GmbH & Co. KG","linkorthopaedics.com","Precision Metal Forming","Germany","50+"
"Walter Förster GmbH","walter-foerster.de","Precision Metal Forming","Germany","50+"
"Walter Pottiez GmbH","pottiez.de","Precision Metal Forming","Germany","50+"
"Walter Schneider GmbH Umformtechnik","schneider-umformen.de","Precision Metal Forming","Germany","50+"
"Weber Shaping Ideas","weber-group.com","Precision Metal Forming","Germany","50+"
"Wehler Stanztechnik GmbH","wehler-stanztechnik.de","Precision Metal Forming","Germany","50+"
"Weidmueller Interface GmbH & Co. KG","weidmueller.com","Precision Metal Forming","Germany","50+"
"Werkzeugbau Winkelmühle GmbH","werkzeugbau-winkelmuehle.de","Precision Metal Forming","Germany","50+"
"Werner Schmid GmbH","werner-schmid.de","Precision Metal Forming","Germany","50+"
"WESTFALIA-Automotive GmbH","westfalia-automotive.com","Precision Metal Forming","Germany","50+"
"Wiegand GmbH","wiegand-tec.de","Precision Metal Forming","Germany","50+"
"Wieland Electric GmbH","wieland-electric.com","Precision Metal Forming","Germany","50+"
"Wienker GmbH","wienker.de","Precision Metal Forming","Germany","50+"
"Wilh. Pfleiderer GmbH & Co. KG","w-pfleiderer.com","Precision Metal Forming","Germany","50+"
"Wilhelm Boellhoff GmbH & Co. KG","boellhoff.com","Precision Metal Forming","Germany","50+"
"Wilhelm Manz GmbH & Co. KG Stanz- und Umformtechnik","wilhelm-manz.de","Precision Metal Forming","Germany","50+"
"William Prym GmbH & Co. KG","prym.com","Precision Metal Forming","Germany","50+"
"Willmann Stanz- und Umformtechnik GmbH","wsu-bielefeld.de","Precision Metal Forming","Germany","50+"
"Winfried Keine Metallverarbeitungsges. mbH","keine.de","Precision Metal Forming","Germany","50+"
"Winkelmann Powertrain Components GmbH & Co. KG","wpc-int.com","Precision Metal Forming","Germany","50+"
"Wippermann jr. GmbH","wippermann.com","Precision Metal Forming","Germany","50+"
"WITTE Automotive","witte-automotive.com","Precision Metal Forming","Germany","50+"
"WITTENSTEIN SE","wittenstein.de","Precision Metal Forming","Germany","50+"
"Witzenmann GmbH","witzenmann.com","Precision Metal Forming","Germany","50+"
"WMU-Weser Metall Umformtechnik GmbH","wmu.de","Precision Metal Forming","Germany","50+"
"WOCO Group","wocogroup.com","Precision Metal Forming","Germany","50+"
"Woregg Group","woregg.com","Precision Metal Forming","Germany","50+"
"WSM GmbH","wsmgmbh.com","Precision Metal Forming","Germany","50+"
"WST Präzisionstechnik GmbH","wst-willmann.de","Precision Metal Forming","Germany","50+"
"Wöhrle GmbH & Co. KG","woehrle.de","Precision Metal Forming","Germany","50+"
"Zapp Precision Metals GmbH","zapp.com","Precision Metal Forming","Germany","50+"
"ZIEGLER Metallbearbeitung GmbH","ziegler-metall.de","Precision Metal Forming","Germany","50+"
"Zoth GmbH & Co. KG","zoth.de","Precision Metal Forming","Germany","50+"
"A. Silva Matos Metalomecanica","asmmetal.pt","Precision Metal Forming","Portugal","50+"
"Aapico Maia, S.A.","aapico.pt","Precision Metal Forming","Portugal","50+"
"ABER","aber.pt","Precision Metal Forming","Portugal","50+"
"ACL Group","aclgroup.pt","Precision Metal Forming","Portugal","50+"
"Adamastor","adamastor.com.pt","Precision Metal Forming","Portugal","50+"
"Alcobre, Condutores Electricos S.A.","alcobre.pt","Precision Metal Forming","Portugal","50+"
"Amtrol-Alfa","amtrol-alfa.com","Precision Metal Forming","Portugal","50+"
"Arestalfer","arestalfer.com","Precision Metal Forming","Portugal","50+"
"Bramp - Metais e Polimeros de Braga","bramp.com","Precision Metal Forming","Portugal","50+"
"Browning Viana, S.A.","browningviana.pt","Precision Metal Forming","Portugal","50+"
"BRUMA","bruma.pt","Precision Metal Forming","Portugal","50+"
"BTL - Industrias Metalurgicas SA","btl.pt","Precision Metal Forming","Portugal","50+"
"Caetano Aeronautic","caetanoaeronautic.pt","Precision Metal Forming","Portugal","50+"
"Carpin","carpin.pt","Precision Metal Forming","Portugal","50+"
"Catari","catarigroup.com","Precision Metal Forming","Portugal","50+"
"Cerisol, Isoladores Ceramicos, S.A.","cerisol.com","Precision Metal Forming","Portugal","50+"
"Ciclo Fapril, S.A.","ciclofapril.com","Precision Metal Forming","Portugal","50+"
"CIFIAL, S.A.","cifial.pt","Precision Metal Forming","Portugal","50+"
"COEM","coem-group.com","Precision Metal Forming","Portugal","50+"
"Colep Packaging","colep-pk.com","Precision Metal Forming","Portugal","50+"
"COPEFI Group","copefi.com","Precision Metal Forming","Portugal","50+"
"Cubotonic","cubotonic.pt","Precision Metal Forming","Portugal","50+"
"Desicor Industrias, S.A.","desicor.pt","Precision Metal Forming","Portugal","50+"
"DNC Tecnica","dnctecnica.com","Precision Metal Forming","Portugal","50+"
"DURIT","durit.com","Precision Metal Forming","Portugal","50+"
"Edaetech","edaetech.pt","Precision Metal Forming","Portugal","50+"
"Efacec","efacec.com","Precision Metal Forming","Portugal","50+"
"EFAFLU Bombas e Ventiladores, S.A.","efaflu.pt","Precision Metal Forming","Portugal","50+"
"EFAPEL, S.A.","efapel.com","Precision Metal Forming","Portugal","50+"
"EME Singular","emesingular.pt","Precision Metal Forming","Portugal","50+"
"Epedal, S.A.","epedal.pt","Precision Metal Forming","Portugal","50+"
"ETMA Metal Parts","etmametalparts.com","Precision Metal Forming","Portugal","50+"
"FAPRICELA - Industria de Trefilaria, S.A.","fapricela.pt","Precision Metal Forming","Portugal","50+"
"FEERICA","feerica.com","Precision Metal Forming","Portugal","50+"
"FEHST Componentes","fehstgroup.com","Precision Metal Forming","Portugal","50+"
"Fersil - Freitas & Silva, S.A.","fersil.com","Precision Metal Forming","Portugal","50+"
"FISOLA","fisola.com","Precision Metal Forming","Portugal","50+"
"FLAMA S.A.","flama-home.com","Precision Metal Forming","Portugal","50+"
"Flex2000","flex2000.pt","Precision Metal Forming","Portugal","50+"
"Fravizel SA","fravizel.com","Precision Metal Forming","Portugal","50+"
"FREZITE - Ferramentas de Corte, S.A.","frezitegroup.com","Precision Metal Forming","Portugal","50+"
"Fucoli-Somepal, Fundicao de Ferro, S.A.","fucoli-somepal.pt","Precision Metal Forming","Portugal","50+"
"Fundilusa","fundilusa.com","Precision Metal Forming","Portugal","50+"
"GALUCHO","galucho.pt","Precision Metal Forming","Portugal","50+"
"Gavedra","gavedra.pt","Precision Metal Forming","Portugal","50+"
"GLN Advanced Solutions, S.A.","gln-as.com","Precision Metal Forming","Portugal","50+"
"GO Eyewear Europe","goeyeweargroup.com","Precision Metal Forming","Portugal","50+"
"Grupo ABB - Alexandre Barbosa Borges","abborges.pt","Precision Metal Forming","Portugal","50+"
"Grupo Arliz","grupoarliz.pt","Precision Metal Forming","Portugal","50+"
"Grupo CCR","grupoccr.pt","Precision Metal Forming","Portugal","50+"
"Grupo Electrofer","electrofer.pt","Precision Metal Forming","Portugal","50+"
"Grupo Incasometal","incasometal.com","Precision Metal Forming","Portugal","50+"
"Grupo Socidias","socidias.pt","Precision Metal Forming","Portugal","50+"
"HELIROMA, S.A.","heliroma.pt","Precision Metal Forming","Portugal","50+"
"Henriques & Henriques","heh.pt","Precision Metal Forming","Portugal","50+"
"Husteel","husteel.pt","Precision Metal Forming","Portugal","50+"
"ICEL","icel.pt","Precision Metal Forming","Portugal","50+"
"IETA, S.A.","ieta.pt","Precision Metal Forming","Portugal","50+"
"IMV - Metalomecanica","imvlda.com","Precision Metal Forming","Portugal","50+"
"Inapal Metal, S.A.","inapalmetal.pt","Precision Metal Forming","Portugal","50+"
"Incompol","incompol.pt","Precision Metal Forming","Portugal","50+"
"INCYCLES Bike Group","incycles.eu","Precision Metal Forming","Portugal","50+"
"Inovocorte","inovocorte.pt","Precision Metal Forming","Portugal","50+"
"J. J. Louro Pereira","jjlouro.pt","Precision Metal Forming","Portugal","50+"
"Jacinto Marques Oliveira Sucrs","jacinto-lda.com","Precision Metal Forming","Portugal","50+"
"JANZ Water Meters","janz.pt","Precision Metal Forming","Portugal","50+"
"JASIL","jasil.com","Precision Metal Forming","Portugal","50+"
"JNF Architectural Hardware","jnf.pt","Precision Metal Forming","Portugal","50+"
"Joao de Deus & Filhos, S.A.","jdeus.com","Precision Metal Forming","Portugal","50+"
"JPM Industry","jpm.pt","Precision Metal Forming","Portugal","50+"
"LABINA - Fundicao Injectada","labina.com","Precision Metal Forming","Portugal","50+"
"LBM","lbm.com.pt","Precision Metal Forming","Portugal","50+"
"LECAFER","lecafer.pt","Precision Metal Forming","Portugal","50+"
"Machado & Silveira","machadosilveira.pt","Precision Metal Forming","Portugal","50+"
"Maran","maran.pt","Precision Metal Forming","Portugal","50+"
"MBM, Lda.","mbm.pt","Precision Metal Forming","Portugal","50+"
"MCG - Manuel da Conceicao Graca","mcg.pt","Precision Metal Forming","Portugal","50+"
"Meivcore Industry","meivcore.com","Precision Metal Forming","Portugal","50+"
"Metaloviana, SA","metaloviana.pt","Precision Metal Forming","Portugal","50+"
"MICROPACK","micropack.pt","Precision Metal Forming","Portugal","50+"
"Miranda Bike Parts","mirandabikeparts.com","Precision Metal Forming","Portugal","50+"
"Molaflex","molaflex.com","Precision Metal Forming","Portugal","50+"
"Motorline","motorline.pt","Precision Metal Forming","Portugal","50+"
"Motrinde","motrinde.pt","Precision Metal Forming","Portugal","50+"
"MSS Steel Tubes","msssteeltubes.com","Precision Metal Forming","Portugal","50+"
"NCP - Fabrico de Produtos Metalicos, S.A.","ncpmetal.com","Precision Metal Forming","Portugal","50+"
"Oliveira, S.A.","oliveirasa.com","Precision Metal Forming","Portugal","50+"
"Onda Grafe","ondagrafe.pt","Precision Metal Forming","Portugal","50+"
"OPTILINK","optilink.pt","Precision Metal Forming","Portugal","50+"
"Palbit","palbit.pt","Precision Metal Forming","Portugal","50+"
"PECOL Automotive","pecolautomotive.com","Precision Metal Forming","Portugal","50+"
"PECOL, S.A.","pecol.pt","Precision Metal Forming","Portugal","50+"
"PEMEL","pemel.pt","Precision Metal Forming","Portugal","50+"
"PERFINOX","perfinox.pt","Precision Metal Forming","Portugal","50+"
"Portrisa","portrisa.com","Precision Metal Forming","Portugal","50+"
"Prenso-Metal","prenso-metal.pt","Precision Metal Forming","Portugal","50+"
"Prifer Group","prifergroup.com","Precision Metal Forming","Portugal","50+"
"PROMECEL","promecel.pt","Precision Metal Forming","Portugal","50+"
"Quantal, S.A.","quantal.pt","Precision Metal Forming","Portugal","50+"
"Ricardo & Barbosa","ricardo-barbosa.com","Precision Metal Forming","Portugal","50+"
"RICO - Tomas Castro Silva","rico.pt","Precision Metal Forming","Portugal","50+"
"RODI Industries","rodi.pt","Precision Metal Forming","Portugal","50+"
"RTE","rte.pt","Precision Metal Forming","Portugal","50+"
"SACIA Group","saciagroup.pt","Precision Metal Forming","Portugal","50+"
"Sarreliber - Transformacao de Plasticos e Metais, S.A.","sarrel.com","Precision Metal Forming","Portugal","50+"
"Serralharia Cunha, SA","scunha.pt","Precision Metal Forming","Portugal","50+"
"Silampos, S.A.","silampos.pt","Precision Metal Forming","Portugal","50+"
"Silva & Vinha S.A.","silvavinha.pt","Precision Metal Forming","Portugal","50+"
"SINFLEX","sinflex.pt","Precision Metal Forming","Portugal","50+"
"Sinuta Group","sinutagroup.com","Precision Metal Forming","Portugal","50+"
"Sunviauto","sunviauto.pt","Precision Metal Forming","Portugal","50+"
"Tech4home","tech4home.com","Precision Metal Forming","Portugal","50+"
"TENSAI INDUSTRIA","tensai.pt","Precision Metal Forming","Portugal","50+"
"TESTA Group","testa.pt","Precision Metal Forming","Portugal","50+"
"TPS - Teixeira, Pinto & Soares, S.A.","tps.com.pt","Precision Metal Forming","Portugal","50+"
"Transfor","transforgroup.com","Precision Metal Forming","Portugal","50+"
"Triangle's - Cycling Equipments, S.A.","triangles.eu","Precision Metal Forming","Portugal","50+"
"TUPAI","tupai.pt","Precision Metal Forming","Portugal","50+"
"Urmi, S.A.","urmi.pt","Precision Metal Forming","Portugal","50+"
"Valinox, S.A.","valinox.pt","Precision Metal Forming","Portugal","50+"
"Valsteam ADCA Engineering, S.A.","valsteam.com","Precision Metal Forming","Portugal","50+"
"VANGEST","vangest.pt","Precision Metal Forming","Portugal","50+"
"Veneporte","veneporte.pt","Precision Metal Forming","Portugal","50+"
"Verto - Engenharia do Metal","verto.com.pt","Precision Metal Forming","Portugal","50+"
"VIDEIRA","videira.pt","Precision Metal Forming","Portugal","50+"
"Vinco Valves","vincovalves.com","Precision Metal Forming","Portugal","50+"
"A. Bianchini Ingeniero S.A.","abianchini.es","Precision Metal Forming","Spain","50+"
"Aciturri Aeronáutica","aciturri.com","Precision Metal Forming","Spain","50+"
"Aernnova Aerospace","aernnova.com","Precision Metal Forming","Spain","50+"
"Aerotecnic","aerotecnic.aero","Precision Metal Forming","Spain","50+"
"Airgrup","airgrup.com","Precision Metal Forming","Spain","50+"
"AJL Ophthalmic","ajlsa.com","Precision Metal Forming","Spain","50+"
